date,CEF.TO,CGL-C.TO,HDIV.TO,TEC.TO,VAB.TO,VBAL.TO,VCN.TO,VDY.TO,VEE.TO,VEQT.TO,VFV.TO,VGRO.TO,VIU.TO,VRE.TO,VUN.TO,XBAL.TO,XBB.TO,XEC.TO,XEF.TO,XEI.TO,XEQT.TO,XGD.TO,XGRO.TO,XIC.TO,XQQ.TO,XRE.TO,XUS.TO,XUU.TO,ZAG.TO,ZBAL.TO,ZCN.TO,ZDV.TO,ZEA.TO,ZEM.TO,ZEQT.TO,ZGRO.TO,ZQQ.TO,ZRE.TO,ZSP.TO,ZWC.TO,ZWU.TO
2016-05-03,,14.5,,,19.345989227294922,,20.994266510009766,18.94169807434082,20.466842651367188,,40.50524139404297,,17.814014434814453,19.966392517089844,32.03462219238281,16.595943450927734,23.4952392578125,15.977079391479492,19.298320770263672,11.837885856628418,,12.71529483795166,14.056084632873535,16.432167053222656,12.100875854492188,10.058807373046875,14.16689682006836,17.402645111083984,11.526581764221191,,13.62666130065918,10.511968612670898,11.6578369140625,11.797993659973145,,,32.886741638183594,11.695088386535645,25.11751365661621,,6.324535369873047
2016-05-04,,14.59000015258789,,,19.413345336914062,,20.872865676879883,18.90862464904785,20.451026916503906,,40.757511138916016,,17.90699577331543,19.910795211791992,32.22830581665039,16.619518280029297,23.614015579223633,15.937430381774902,19.352025985717773,11.806700706481934,,12.237207412719727,14.056084632873535,16.341508865356445,12.026469230651855,10.020862579345703,14.25749397277832,17.593599319458008,11.555508613586426,,13.553084373474121,10.518866539001465,11.665395736694336,11.70246410369873,,,32.6892204284668,11.658219337463379,25.29104232788086,,6.310344219207764
2016-05-05,,14.5600004196167,,,19.480695724487305,,20.8501033782959,18.868959426879883,20.42731285095215,,40.7401237487793,,17.860498428344727,20.02201271057129,32.193077087402344,16.6352481842041,23.64370346069336,15.921574592590332,19.336679458618164,11.812932968139648,,12.595773696899414,14.009096145629883,16.341508865356445,12.002796173095703,10.103063583374023,14.244548797607422,17.576231002807617,11.577204704284668,,13.538362503051758,10.498176574707031,11.620034217834473,11.70246410369873,,,32.6892204284668,11.74425220489502,25.256332397460938,,6.300885200500488
2016-05-06,,14.8100004196167,,,19.495668411254883,,21.001863479614258,18.875560760498047,20.56170082092285,,41.03590393066406,,17.976730346679688,20.154104232788086,32.430782318115234,16.650976181030273,23.665983200073242,16.016721725463867,19.382719039916992,11.831650733947754,,13.138216018676758,14.009096145629883,16.4472713470459,12.056909561157227,10.115703582763672,14.356711387634277,17.689067840576172,11.60612964630127,,13.634016036987305,10.484380722045898,11.710760116577148,11.758191108703613,,,32.78798294067383,11.75040054321289,25.455888748168945,,6.296154975891113
2016-05-09,,14.5,,,19.51811408996582,,20.75905990600586,18.763132095336914,20.316631317138672,,41.227298736572266,,17.99222755432129,20.501699447631836,32.58042526245117,16.666702270507812,23.71794319152832,15.89777946472168,19.474796295166016,11.76303768157959,,12.40269947052002,13.962118148803711,16.265960693359375,12.11778450012207,10.324338912963867,14.421418190002441,17.801904678344727,11.613359451293945,,13.479503631591797,10.442989349365234,11.748559951782227,11.66265869140625,,,32.975624084472656,11.971640586853027,25.56000328063965,,6.263040542602539
2016-05-10,,14.550000190734863,,,19.503150939941406,,21.10049057006836,19.014455795288086,20.640745162963867,,41.54917907714844,,18.154949188232422,20.522560119628906,32.870941162109375,16.729581832885742,23.72536277770996,16.09601593017578,19.66663360595703,11.906489372253418,,12.770459175109863,14.19703197479248,16.5228271484375,12.259828567504883,10.330658912658691,14.54652214050293,17.932100296020508,11.613359451293945,,13.692876815795898,10.574043273925781,11.869522094726562,11.845759391784668,,,33.37065887451172,12.002373695373535,25.785581588745117,,6.310344219207764
2016-05-11,,14.600000381469727,,,19.510623931884766,,21.092905044555664,19.021059036254883,20.474740982055664,,41.01850128173828,,17.829509735107422,20.68246078491211,32.40437316894531,16.729581832885742,23.72536277770996,15.985007286071777,19.359699249267578,11.975091934204102,,12.981918334960938,14.19703197479248,16.537939071655273,12.175278663635254,10.355951309204102,14.348085403442383,17.697751998901367,11.620591163635254,,13.700238227844238,10.615432739257812,11.710760116577148,11.750228881835938,,,33.07438659667969,12.045391082763672,25.429853439331055,,6.352917194366455
2016-05-12,,14.470000267028809,,,19.495668411254883,,21.115663528442383,19.107040405273438,20.403593063354492,,40.93150329589844,,17.961231231689453,20.70332145690918,32.32514190673828,16.69028091430664,23.665983200073242,15.937430381774902,19.336679458618164,12.012519836425781,,12.669323921203613,14.103067398071289,16.537939071655273,12.134696006774902,10.406533241271973,14.317887306213379,17.66302490234375,11.591668128967285,,13.707592010498047,10.636126518249512,11.703197479248047,11.686542510986328,,,33.015132904052734,12.10069751739502,25.38648223876953,,6.362379550933838
2016-05-13,,14.649999618530273,,,19.533077239990234,,21.04737663269043,19.054134368896484,20.182239532470703,,40.93150329589844,,17.721025466918945,20.633806228637695,32.32514190673828,16.6745548248291,23.732791900634766,15.778849601745605,19.259946823120117,11.981329917907715,,12.899175643920898,14.103067398071289,16.492612838745117,12.06705379486084,10.3685941696167,14.386910438537598,17.73246955871582,11.627825736999512,,13.670804023742676,10.587838172912598,11.650275230407715,11.591012954711914,,,32.81760787963867,12.045391082763672,25.377790451049805,,6.343460559844971
2016-05-16,,14.619999885559082,,,19.480695724487305,,21.30535125732422,19.23270034790039,20.395681381225586,,41.20118713378906,,17.93023681640625,20.75197982788086,32.55400848388672,16.753171920776367,23.688255310058594,15.921574592590332,19.48247528076172,12.099833488464355,,13.156606674194336,14.12656021118164,16.673927307128906,12.239538192749023,10.46342945098877,14.412793159484863,17.784542083740234,11.598898887634277,,13.847393989562988,10.691304206848145,11.763679504394531,11.71042537689209,,,33.23239517211914,12.12528133392334,25.56000328063965,,6.381301403045654
