data_source,ticker,name,category,mer,benchmark,latest_nav,as_of,volatility,max_drawdown,current_drawdown,sharpe,sortino,positive_months,history_years,return_1w,return_1m,return_3m,return_6m,return_1y,return_ytd,return_3y_annualized,return_5y_annualized,return_10y_annualized,momentum_score,risk_score,cost_score,quality_score,overall_score,signal,category_rank
Yahoo Finance,HDIV.TO,Hamilton Enhanced Multi-Sector Covered Call,Covered Call,2.38,ZWC.TO,23.43000030517578,2026-07-24,15.555559509535755,-22.324882468229788,-1.264219312463899,1.2006006280669632,1.5838247613135747,66.66666666666666,5.007529089664613,-0.04266309152726189,1.4276833455823645,7.467600893575388,13.505919156771373,41.60307301405499,18.187689748448467,26.804417046872754,18.990794315789273,,96.66666666666666,86.66666666666667,33.333333333333336,76.66666666666666,81.66666666666667,Strong trend,1
Yahoo Finance,ZWC.TO,BMO Canadian High Dividend Covered Call,Covered Call,0.72,ZWC.TO,22.959999084472656,2026-07-24,14.863560583664018,-40.56535500070315,-0.1739170240319332,0.6296251576195433,0.6452184462947783,65.48672566371681,9.437371663244353,0.17451574190909813,3.119882084599812,6.92461250476768,12.004028465365547,29.813437664455233,14.607510293600035,17.66412123423937,12.151088847048275,,70.0,58.33333333333333,66.66666666666669,66.66666666666666,65.08333333333333,High risk,2
Yahoo Finance,ZWU.TO,BMO Covered Call Utilities,Covered Call,0.71,ZWC.TO,12.09000015258789,2026-07-24,14.273897347454076,-37.410476478304375,0.0,0.488710118645903,0.5214975134460079,62.121212121212125,10.992470910335387,1.171551008847782,0.7456537175203559,3.646904320197586,11.41848185282579,15.849410654343066,12.925487594330342,11.743123934338428,6.48904515564539,5.892086524300533,33.33333333333333,54.99999999999999,100.0,56.666666666666664,53.24999999999999,Strong trend,3
Yahoo Finance,ZEM.TO,BMO MSCI Emerging Markets Index,Emerging Markets,0.28,XEC.TO,32.77000045776367,2026-07-24,18.958420536523505,-34.79034079204635,-10.145326676981448,0.539688370685473,0.7337744668634824,59.09090909090909,10.992470910335387,2.662908456886237,-5.014491426771961,4.964769950350889,13.117021865642453,37.636224944215435,18.560062161349002,22.04277786795823,9.204773770876674,9.51993878200945,93.33333333333333,70.0,49.99999999999999,88.33333333333333,78.16666666666666,Strong trend,1
Yahoo Finance,XEC.TO,iShares Core MSCI Emerging Markets IMI,Emerging Markets,0.28,XEC.TO,43.029998779296875,2026-07-24,18.144717038806604,-32.53778175560949,-9.45752403035951,0.5316484862139106,0.6936447655611799,56.81818181818182,10.992470910335387,2.4279945215823773,-4.8787593890649354,4.3723178968860354,12.32193377579458,34.40291147670058,17.496642300122843,21.1877836395741,9.20186500059572,9.20362701217583,66.66666666666666,66.66666666666666,49.99999999999999,44.99999999999999,61.99999999999999,Strong trend,2
Yahoo Finance,VEE.TO,Vanguard FTSE Emerging Markets All Cap,Emerging Markets,0.24,XEC.TO,49.16999816894531,2026-07-24,17.310884801998725,-29.836736289156352,-5.6600169290002995,0.4910302428202322,0.6595190715950939,57.57575757575758,10.992470910335387,0.9443627450596459,-2.4985170109173116,1.5331884676953456,5.202013408795891,19.84428894910102,8.496110354487186,16.785242414961843,7.2317865201589004,7.804528305107827,40.0,63.33333333333333,100.0,66.66666666666666,59.83333333333333,Strong trend,3
Yahoo Finance,CGL-C.TO,iShares Gold Bullion ETF CAD Hedged,Gold,0.55,CGL-C.TO,47.630001068115234,2026-07-24,15.839121169519615,-23.553514714346324,-21.930827112800554,0.8417922909643283,1.1421881888322372,58.333333333333336,10.992470910335387,1.4699668973011892,0.5276487850656375,-11.484854390364818,-16.555712087938524,23.329887067375843,-4.280541248523784,29.68089069097699,19.604509719860786,11.916781255605159,80.0,100.0,50.0,100.0,84.5,Weakening,1
Yahoo Finance,CEF.TO,Sprott Physical Gold and Silver Trust,Gold,0.49,CGL-C.TO,56.290000915527344,2026-07-24,22.300661262946775,-32.08668711753822,-30.29102053804663,0.7779551783614574,0.9717546302970284,55.88235294117647,8.511978097193703,1.698288107172674,0.4819715379460465,-15.238672170644762,-27.367740754158266,31.626333962143647,-11.256502215507357,32.00764990993714,19.323771775840104,,70.0,50.0,100.0,50.0,65.5,Weakening,2
Yahoo Finance,XGD.TO,iShares S&P TSX Global Gold Index,Gold Miners,0.61,XGD.TO,46.689998626708984,2026-07-24,35.078744435599845,-46.95873785665435,-32.03312719950342,0.6746425396707793,0.9846437535022342,56.81818181818182,10.992470910335387,5.969126580672923,-1.1768267042683633,-18.465730534418224,-25.929408828532086,47.068984763443034,-8.337643910687586,38.848619249192474,22.09910471614316,12.01722013474158,100.0,100.0,100.0,100.0,100.0,High risk,1
Yahoo Finance,ZGRO.TO,BMO Growth ETF,Growth,0.2,VGRO.TO,19.09000015258789,2026-07-24,13.038737005951614,-24.642749972731192,-3.2111702903357964,0.8906939481845375,1.039670322625016,68.53932584269663,7.436002737850787,-0.2612290420844432,-0.805220743428281,4.441171075036809,7.396927778490148,19.106904509389878,9.28964218949282,16.97510237384585,10.431604667293026,,73.33333333333333,86.66666666666667,83.33333333333334,76.66666666666666,79.83333333333334,Strong trend,1
Yahoo Finance,XGRO.TO,iShares Core Growth ETF Portfolio,Growth,0.2,VGRO.TO,37.959999084472656,2026-07-24,12.399081343166628,-25.85276647831616,-2.541724413542945,0.7846564945720096,0.9216307691275286,68.18181818181817,10.992470910335387,-0.15781528818672452,-0.4536761815853163,4.6966801078973885,7.310704341393248,18.34765931525002,9.546981696237932,16.819850179292285,9.956677721899165,9.744404159873499,63.33333333333333,46.66666666666666,83.33333333333334,78.33333333333333,61.99999999999999,Strong trend,2
Yahoo Finance,VGRO.TO,Vanguard Growth ETF Portfolio,Growth,0.24,VGRO.TO,46.849998474121094,2026-07-24,12.516700614770784,-25.36021437501215,-2.253289848066331,0.8222220322196977,0.9626950692311719,67.32673267326733,8.473648186173854,-0.042672195902415666,-0.5249042381444968,4.440023746252875,7.285889609353258,19.64022536083889,9.573861395749539,16.851619382178296,10.070627007289668,,63.33333333333333,66.66666666666666,33.333333333333336,44.99999999999999,58.16666666666666,Strong trend,3
Yahoo Finance,VIU.TO,Vanguard FTSE Developed All Cap ex North America,International,0.23,XEF.TO,49.060001373291016,2026-07-24,15.348414612639061,-29.14557900751967,-4.552529344594958,0.6529826911746854,0.8167899994056942,62.99212598425197,10.625598904859686,0.8220335535002565,-2.0171726137190427,6.321018787496846,10.041203038012814,26.385934713365145,14.293990635929909,19.38065467917731,11.33883906354296,10.20514979673408,93.33333333333333,70.0,49.99999999999999,76.66666666666666,77.0,Strong trend,1
Yahoo Finance,ZEA.TO,BMO MSCI EAFE Index,International,0.22,XEF.TO,31.09000015258789,2026-07-24,15.003690388216064,-27.800189225906934,-3.1765818697457315,0.5947343708205919,0.7471139641097146,59.84848484848485,10.992470910335387,0.12882742837430072,-0.26929549254631757,5.953305599762038,7.417863307573214,20.253640450621923,10.672953389630834,17.51279285915397,10.930986712358614,9.853758228209685,70.0,56.666666666666664,100.0,50.83333333333333,67.91666666666666,Strong trend,2
Yahoo Finance,XEF.TO,iShares Core MSCI EAFE IMI Index,International,0.23,XEF.TO,50.83000183105469,2026-07-24,14.860989301066704,-28.50509692620339,-3.4017429440604596,0.6055179661255159,0.7518133829487385,61.36363636363637,10.992470910335387,0.0,-0.6256029216928027,5.617065907088414,7.051865858463291,19.464703223260216,10.312159175333257,17.477063292005667,10.489634699741446,9.770073322160645,36.66666666666666,73.33333333333331,49.99999999999999,72.5,55.08333333333332,Strong trend,3
Yahoo Finance,ZRE.TO,BMO Equal Weight REITs Index,REIT,0.61,XRE.TO,24.600000381469727,2026-07-24,17.35987814387935,-46.28551265946522,-1.7179396459433671,0.5079350702284164,0.5671575845754894,59.84848484848485,10.992470910335387,-1.2444779921369165,1.0607492757271908,4.611738525423337,5.844789299483533,14.003721665655755,13.490491118077319,8.891946146665997,3.059188198364038,6.734736558612009,90.0,86.66666666666667,49.99999999999999,88.33333333333333,82.66666666666666,High risk,1
